category_name,product_name,product_sku,product_parent_sku,product_parent_id,pricebeforetax,pricewithouttax,product_availability,product_discount,product_in_stock,product_price,product_sales,taxamount,virtuemart_product_id
24'' (540),540 Loopwheel Carbon,4WH886-LWC,,,2768,2768,,,,2768,,0,3374
25'' (559),559 Loopwheel Carbon,B25.11.049,,,2768,2768,,,,2768,,0,3375
Batec Mobility,Batec Rapid 2 Black Special Edition,4WH882-LWU-RE,,,2768,2768,,,,0,,0,3376
,540 Loopwheel Urban- Regular ,4WH883-LWU-RE,4WH882-LWU-ST,3372,2768,2768,,,,0,,0,3377
,540 Loopwheel Urban - Reg,4WH880-LWX-ST,4WH882-LWU-ST,3372,2768,2768,,,,0,,0,3378
24'' (507), HS440 Marathon Plus  Black 24x1.75 (47-507) ,SNA11100599.01,,,70,70,,,,70,,0,3384
,Fit Grips COMFORT Push Rim - Black w Packaging,2PR634,2PR630,375,40,40,,,,40,,0,3422
,Fit Grips COMFORT Push Rim - Black w Packaging,2PR632,2PR630,375,40,40,,,,40,,0,3423
20'' (406),K1129 Kwick Journey 20x1.75(45-406) - Black,SNA11100063,,,56,56,out-of-stock.png,,,56,,0,3447
20'' (406),C1131 Dirt Monster 20x1.95(406) - Black,SNA10285391,,,35,35,out-of-stock.png,,,35,,0,3449
24'' (540),HS348 Marathon Plus 24x13/8 (37-540) Gy/Bk,K01265381614,,,47,47,,,,47,,0,3456
Push Rims,"25"" Wooden Pushrims Set Light with 6 Rivnut - Black",2PRW559M-B.R,,,395,395,,,,395,,0,3503
,"25"" Wooden Pushrims Set Medium with 6 Rivnut - Black",2PRW559L-B.R,2PRW559L-B.R,3503,395,395,,,,0,,0,3504
24'' (507),24x2.10 (54-507) Smart Sam Black,K214225,,,40,40,out-of-stock.png,,,40,,0,3545
26'' (590),26'' Spinergy Extra Light Extreme,LXL26.18.111,,3280,522.5,522.5,,,,522.5,,0,1839
,26'' Extra Light Extreme - Blade,XLX24.12.111,LXLB26.18.111,1844,522.5,522.5,,,,0,,0,1845
,K196 Kontender - Yellow 26x1.0 (23-590),K25260219656,K25260219656,2250,40,40,out-of-stock.png,,,40,,0,2255
4'',4x1 Composite Hub - Black Tread,2CA023,2CA023,2437,35,35,,,,35,,0,2439
,"20'' Extra Light Extreme - Blade, Red Spokes",LXLB20.18.122,LXLB20.18.111,2806,522.5,522.5,,,,0,,0,2807
